# tracer: function_graph
#
#     TIME         TASK/PID         DURATION                  FUNCTION CALLS
#      |            |    |           |   |                     |   |   |   |
5640901.756611 |    sshd-8241    |   0.110 us    |          copy_from_read_buf();
5640901.756612 |    sshd-8241    |   0.095 us    |          n_tty_kick_worker();
5640901.756612 |    sshd-8241    |               |          tty_wakeup() {
5640901.756613 |    sshd-8241    |               |            __wake_up() {
5640901.756613 |    sshd-8241    |   0.126 us    |              _raw_spin_lock_irqsave();
5640901.756614 |    sshd-8241    |   0.105 us    |              __wake_up_common();
5640901.756614 |    sshd-8241    |   0.095 us    |              _raw_spin_unlock_irqrestore();
5640901.756615 |    sshd-8241    |   2.171 us    |            } /* __wake_up */
5640901.756615 |    sshd-8241    |   2.833 us    |          } /* tty_wakeup */
5640901.756616 |    sshd-8241    |   0.090 us    |          n_tty_kick_worker();
5640901.756616 |    sshd-8241    |   0.100 us    |          up_read();
5640901.756617 |    sshd-8241    |               |          remove_wait_queue() {
5640901.756617 |    sshd-8241    |   0.110 us    |            _raw_spin_lock_irqsave();
5640901.756618 |    sshd-8241    |   0.095 us    |            _raw_spin_unlock_irqrestore();
5640901.756619 |    sshd-8241    |   1.384 us    |          } /* remove_wait_queue */
5640901.756619 |    sshd-8241    |   0.105 us    |          mutex_unlock();
5640901.756620 |    sshd-8241    |   18.321 us   |        } /* n_tty_read */
5640901.756620 |    sshd-8241    |               |        tty_ldisc_deref() {
5640901.756620 |    sshd-8241    |   0.100 us    |          ldsem_up_read();
5640901.756621 |    sshd-8241    |   0.731 us    |        } /* tty_ldisc_deref */
5640901.756621 |    sshd-8241    |   0.110 us    |        get_seconds();
5640901.756622 |    sshd-8241    |   23.845 us   |      } /* tty_read */
5640901.756622 |    sshd-8241    |   24.516 us   |    } /* __vfs_read */
5640901.756623 |    sshd-8241    |   29.975 us   |  } /* vfs_read */
 ------------------------------------------
 0)   sshd-8241    => ztracer-17255 
 ------------------------------------------

5640901.756706 |  ztracer-17255  |               |  vfs_read() {
5640901.756706 |  ztracer-17255  |               |    rw_verify_area() {
5640901.756707 |  ztracer-17255  |               |      security_file_permission() {
5640901.756707 |  ztracer-17255  |               |        apparmor_file_permission() {
5640901.756707 |  ztracer-17255  |               |          common_file_perm() {
5640901.756708 |  ztracer-17255  |   0.131 us    |            aa_file_perm();
5640901.756709 |  ztracer-17255  |   1.018 us    |          } /* common_file_perm */
5640901.756709 |  ztracer-17255  |   1.654 us    |        } /* apparmor_file_permission */
5640901.756709 |  ztracer-17255  |   0.095 us    |        __fsnotify_parent();
5640901.756710 |  ztracer-17255  |   0.116 us    |        fsnotify();
5640901.756711 |  ztracer-17255  |   3.815 us    |      } /* security_file_permission */
5640901.756711 |  ztracer-17255  |   4.596 us    |    } /* rw_verify_area */
5640901.756711 |  ztracer-17255  |               |    __vfs_read() {
5640901.756712 |  ztracer-17255  |               |      new_sync_read() {
5640901.756712 |  ztracer-17255  |               |        sock_read_iter() {
5640901.756713 |  ztracer-17255  |               |          sock_recvmsg() {
5640901.756713 |  ztracer-17255  |               |            security_socket_recvmsg() {
5640901.756714 |  ztracer-17255  |               |              apparmor_socket_recvmsg() {
5640901.756714 |  ztracer-17255  |               |                aa_sock_msg_perm() {
5640901.756714 |  ztracer-17255  |               |                  aa_sk_perm() {
5640901.756715 |  ztracer-17255  |   0.180 us    |                    aa_label_sk_perm();
5640901.756715 |  ztracer-17255  |   0.832 us    |                  } /* aa_sk_perm */
5640901.756716 |  ztracer-17255  |   1.474 us    |                } /* aa_sock_msg_perm */
5640901.756717 |  ztracer-17255  |   2.120 us    |              } /* apparmor_socket_recvmsg */
5640901.756717 |  ztracer-17255  |   3.529 us    |            } /* security_socket_recvmsg */
5640901.756718 |  ztracer-17255  |               |            inet_recvmsg() {
5640901.756718 |  ztracer-17255  |               |              tcp_recvmsg() {
5640901.756718 |  ztracer-17255  |               |                lock_sock_nested() {
5640901.756719 |  ztracer-17255  |   0.095 us    |                  _cond_resched();
5640901.756719 |  ztracer-17255  |   0.115 us    |                  _raw_spin_lock_bh();
5640901.756720 |  ztracer-17255  |   0.096 us    |                  __local_bh_enable_ip();
5640901.756721 |  ztracer-17255  |   2.155 us    |                } /* lock_sock_nested */
5640901.756721 |  ztracer-17255  |               |                skb_copy_datagram_iter() {
5640901.756721 |  ztracer-17255  |               |                  __check_object_size() {
5640901.756722 |  ztracer-17255  |   0.100 us    |                    __virt_addr_valid();
5640901.756723 |  ztracer-17255  |               |                    __check_heap_object() {
5640901.756723 |  ztracer-17255  |   0.090 us    |                      page_address();
5640901.756724 |  ztracer-17255  |   0.095 us    |                      page_address();
5640901.756724 |  ztracer-17255  |   1.383 us    |                    } /* __check_heap_object */
5640901.756724 |  ztracer-17255  |   0.091 us    |                    check_stack_object();
5640901.756725 |  ztracer-17255  |   3.319 us    |                  } /* __check_object_size */
5640901.756726 |  ztracer-17255  |   0.145 us    |                  __copy_user_ll();
5640901.756726 |  ztracer-17255  |   5.123 us    |                } /* skb_copy_datagram_iter */
5640901.756727 |  ztracer-17255  |   0.216 us    |                tcp_rcv_space_adjust();
5640901.756728 |  ztracer-17255  |               |                __kfree_skb() {
5640901.756728 |  ztracer-17255  |               |                  skb_release_all() {
5640901.756729 |  ztracer-17255  |               |                    skb_release_head_state() {
5640901.756729 |  ztracer-17255  |   0.105 us    |                      sock_rfree();
5640901.756730 |  ztracer-17255  |   0.751 us    |                    } /* skb_release_head_state */
5640901.756730 |  ztracer-17255  |   0.115 us    |                    skb_release_data();
5640901.756731 |  ztracer-17255  |   2.060 us    |                  } /* skb_release_all */
5640901.756731 |  ztracer-17255  |   0.250 us    |                  kfree_skbmem();
5640901.756732 |  ztracer-17255  |   3.654 us    |                } /* __kfree_skb */
5640901.756732 |  ztracer-17255  |               |                tcp_cleanup_rbuf() {
5640901.756733 |  ztracer-17255  |   0.105 us    |                  __tcp_select_window();
5640901.756733 |  ztracer-17255  |   0.807 us    |                } /* tcp_cleanup_rbuf */
5640901.756733 |  ztracer-17255  |               |                release_sock() {
5640901.756734 |  ztracer-17255  |   0.106 us    |                  _raw_spin_lock_bh();
5640901.756735 |  ztracer-17255  |   0.090 us    |                  tcp_release_cb();
5640901.756735 |  ztracer-17255  |               |                  _raw_spin_unlock_bh() {
5640901.756736 |  ztracer-17255  |   0.096 us    |                    __local_bh_enable_ip();
5640901.756736 |  ztracer-17255  |   0.706 us    |                  } /* _raw_spin_unlock_bh */
5640901.756737 |  ztracer-17255  |   2.742 us    |                } /* release_sock */
5640901.756737 |  ztracer-17255  |   18.647 us   |              } /* tcp_recvmsg */
5640901.756737 |  ztracer-17255  |   19.314 us   |            } /* inet_recvmsg */
5640901.756737 |  ztracer-17255  |   24.301 us   |          } /* sock_recvmsg */
5640901.756738 |  ztracer-17255  |   25.153 us   |        } /* sock_read_iter */
5640901.756738 |  ztracer-17255  |   25.975 us   |      } /* new_sync_read */
5640901.756738 |  ztracer-17255  |   26.631 us   |    } /* __vfs_read */
5640901.756739 |  ztracer-17255  |   0.141 us    |    __fsnotify_parent();
